code,股票简称,最新价,最新涨跌幅,涨停,几天几板,连续涨停天数,a股市值(不含限售股),市值分组,首次涨停时间,最终涨停时间,涨停原因类别,涨停封单量,涨停封单额,涨停封单量占成交量比,封单强度,涨停开板次数,封板质量,综合评分,评分等级,涨停日期,持仓
300391,*ST长药,2.57,20.093457944,涨停,首板涨停,1,900363807.84,微盘, 14:05:39, 14:34:52,中药大健康+预重整+ST板块,1372100,3526297.0,1.9945725414883735,较弱,2,良好,0.8,E,20251204,False
603906,龙蟠科技,23.41,10.009398496,涨停,首板涨停,1,13228497119.23,中盘, 09:30:36, 09:53:28,欣旺达长单+磷酸铁锂+涨价预期+固态电池,6459082,151207109.62,13.199259117968817,较强,4,一般,0.9831235837216764,E,20251204,False
002631,德尔未来,5.71,10.019267823,涨停,首板涨停,1,4531298129.92,小盘, 09:33:51, 09:36:51,石墨烯+家居+C2M,12119100,69200061.0,30.196542513199198,极强,1,良好,1.0,E,20251204,False
603327,福蓉科技,13.3,10.008271299,涨停,3天3板,3,13266665983.9,中盘, 09:31:06, 14:14:27,AI手机+AI眼镜+铝结构件+国企改革,5510964,73295821.2,3.285860654271539,较弱,4,一般,0.7000000000000001,E,20251204,False
603711,香飘飘,15.73,10,涨停,首板涨停,1,6494509593.0,小盘, 13:23:17, 13:23:17,线下门店开业+孙颖莎代言+即饮增长,5001800,78678314.0,29.20665662786382,极强,0,极好,1.241590871637429,E,20251204,False
603696,安记食品,16.09,9.97949419,涨停,2天2板,2,3784368000.0,小盘, 09:30:00, 14:21:30,调味品+海峡两岸+福建自贸区,4072900,65532961.0,6.6621880222597465,一般,1,良好,1.2000000000000002,E,20251204,False
002836,新宏泽,15.15,10.021786492,涨停,首板涨停,1,3490560000.0,小盘, 11:11:22, 11:11:22,烟标+客户拓展+产线升级+三季报营收增长,5865659,88864733.85000001,43.439309143010206,极强,0,极好,1.3003628076094076,E,20251204,False
600408,安泰集团,5.59,10.039370079,涨停,2天2板,2,5628012000.0,小盘, 10:36:27, 10:36:27,焦炭+型钢+减亏+循环经济,11408700,63774633.0,4.262968355006951,较弱,0,极好,1.4000000000000001,E,20251204,False
002300,太阳电缆,8.56,10.025706941,涨停,2天2板,2,6182632980.48,小盘, 09:30:21, 09:30:21,福建算力政策+海底电缆+海峡两岸+军工,25194359,215663713.04000002,63.84011979898834,极强,0,极好,2.2507040410369363,E,20251204,False
002589,瑞康医药,3.52,10,涨停,首板涨停,1,4806882248.96,小盘, 09:42:51, 09:42:51,医药流通+中医药+回购+创新药,15661370,55128022.4,14.876916444202129,较强,0,极好,1.2000000000000002,E,20251204,False
002702,海欣食品,9.64,10.0456621,涨停,6天6板,6,4422289750.0,小盘, 09:30:00, 14:11:12,海峡两岸+山姆渠道+火锅丸滑+常温新品,9978391,96191689.24000001,6.278189597860213,一般,3,一般,1.0426366741289208,E,20251204,False
000838,财信发展,3.89,9.88700565,涨停,首板涨停,1,4099149175.95,小盘, 09:30:00, 09:30:00,江西中久拟入主+房地产+环保+控制权变更,20700500,80524945.0,97.80764960192776,极强,0,极好,1.3346439630145293,E,20251204,False
603092,德力佳,73.8,10.001490535,涨停,首板涨停,1,2468791548.0,微盘, 11:20:26, 13:02:03,风电齿轮箱+三季报高增+新疆合作+次新股,508600,37534680.0,7.82265129739733,一般,1,良好,1.0,E,20251204,False
002769,普路通,12.94,10.034013605,涨停,首板涨停,1,4826752376.2,小盘, 09:31:06, 09:34:21,三季报扭亏+算力+存储+国企,7193051,93078079.94,33.17223874545355,极强,2,良好,0.9246722814260856,E,20251204,False
002682,龙洲股份,6.51,9.966216216,涨停,首板涨停,1,3660964862.94,小盘, 13:26:34, 13:26:34,海峡两岸+土地收储+卫星导航+储能+国企,21646110,140916176.1,18.136256501633937,较强,0,极好,1.600680689280673,E,20251204,False
603590,康辰药业,46.97,10,涨停,首板涨停,1,7431756714.69,小盘, 13:14:03, 13:14:03,创新药+KC1086进展+回购,2083500,97861995.0,51.416514485958245,极强,0,极好,1.3522737305850563,E,20251204,False
600228,*ST返利,7.72,5.034013605,涨停,首板涨停,1,3211807006.44,小盘, 10:04:13, 10:04:13,ST板块+AI导购+回购注销,4276200,33012264.0,31.798982718105833,极强,0,极好,1.2000000000000002,E,20251204,False
603353,和顺石油,35.63,10.003087373,涨停,5天3板,1,6071993340.0,小盘, 09:33:21, 09:42:36,拟控股奎芯科技+半导体IP+加油站+华为超充,1097720,39111763.6,11.782814599818812,较强,1,良好,1.0,E,20251204,False
002519,银河电子,6.52,9.949409781,涨停,4天3板,1,7294481205.72,小盘, 10:20:41, 10:20:41,商业航天+军工+智能终端+新能源,15550394,101388568.88,4.892021707052292,较弱,0,极好,1.3726207786478564,E,20251204,False
603286,日盈电子,56.3,10.003907776,涨停,首板涨停,1,6497854985.3,小盘, 09:36:36, 14:38:07,人形机器人+电子皮肤+北美产能+汽车电子,283700,15972310.0,2.0343720677918458,较弱,1,良好,1.0,E,20251204,False
002686,亿利达,8.11,10.040705563,涨停,2天2板,2,4239361450.88,小盘, 09:30:21, 13:06:33,回购+中央空调风机+浙江国资+新材料,4924877,39940752.47,3.777171647809315,较弱,11,极差,0.4,E,20251204,False
600381,*ST春天,4.88,4.946236559,涨停,2天2板,2,2864856416.08,微盘, 09:30:36, 09:32:21,白酒+减亏+ST板块,2041800,9963984.0,29.28739457226462,极强,1,良好,1.2000000000000002,E,20251204,False
605108,同庆楼,24.07,10.009140768,涨停,2天2板,2,6258200000.0,小盘, 13:53:09, 14:48:41,中华老字号+食品创新+宴会经济+月子会所,858231,20657620.17,2.398445957058413,较弱,3,一般,0.8,E,20251204,False
001211,双枪科技,29.28,9.992486852,涨停,首板涨停,1,1961659716.0,微盘, 11:01:18, 11:01:18,日用餐厨具+外贸增长+竹产业链+金钢瓷新品,4366750,127858440.0,71.1898531941082,极强,0,极好,1.473498206005945,E,20251204,False
002515,金字火腿,6.81,10.016155089,涨停,首板涨停,1,8244183779.94,小盘, 09:38:21, 09:45:21,光模块+火腿,8950980,60956173.8,7.9930480418712,一般,3,一般,0.6000000000000001,E,20251204,False
603386,骏亚科技,13.76,9.992006395,涨停,首板涨停,1,4490198425.6,小盘, 14:43:37, 14:43:37,印制电路板+扭亏为盈+5G概念+客户资源,9007780,123947052.8,48.997506549116196,极强,0,极好,1.5027750224444287,E,20251204,False
000571,新大洲A,6.49,10,涨停,首板涨停,1,5282810027.0,小盘, 10:36:57, 10:57:55,煤炭+海南自贸区+诉讼落地,2654867,17230086.830000002,2.49206682824642,较弱,6,较差,0.2,E,20251204,False
000078,海王生物,4.52,9.9756691,涨停,6天6板,6,11871513943.76,中盘, 09:31:51, 09:33:36,创新药+流感概念+医药流通+民营龙头,37888849,171257597.48,20.756205217428157,极强,1,良好,2.4401575072869353,E,20251204,False
002487,大金重工,55.22,10,涨停,首板涨停,1,34839417088.52,大盘, 13:21:17, 13:21:17,欧洲大单+海上风电+业绩新高+深远海布局,2552882,140970144.04,7.417659663496974,一般,0,极好,1.2000000000000002,E,20251204,False
603017,中衡设计,11.9,9.981515712,涨停,首板涨停,1,3286664486.7,小盘, 09:36:21, 09:43:51,商业航天+低空经济+建筑设计+新质生产力,4532300,53934370.0,17.75610655826495,较强,1,良好,1.0,E,20251204,False
002913,奥士康,37.73,10,涨停,首板涨停,1,11382515210.22,中盘, 10:04:43, 10:04:43,PCB+AI服务器+汽车电子,1284000,48445319.99999999,13.7812600622518,较强,0,极好,1.5245668037167024,E,20251204,False
603268,*ST松发,81.21,5.003878976,涨停,4天3板,1,10083748248.0,中盘, 14:03:54, 14:03:54,船舶制造+VLCC大单+三季报增长+海工装备,361300,29341172.999999996,12.587797536094541,较强,0,极好,1.4543406200279634,E,20251204,False
600172,黄河旋风,6.77,10.081300813,涨停,首板涨停,1,8640251427.5,小盘, 09:47:06, 13:08:18,培育钻石+超硬材料+散热材料+国资背景,10229328,69252550.56,4.00771950805933,较弱,1,良好,1.0,E,20251204,False
000993,闽东电力,13.94,10.023677979,涨停,首板涨停,1,6130081153.68,小盘, 09:38:21, 09:38:21,风电+光伏+国企改革+海峡两岸,6423100,89538014.0,20.10853871085455,极强,0,极好,1.304247389086481,E,20251204,False
600403,大有能源,9.2,10.04784689,涨停,首板涨停,1,21995474098.4,中盘, 10:36:12, 14:17:58,煤炭开采+河南国资+战略重组,3097599,28497910.799999997,2.1058738194209625,较弱,5,一般,0.2,E,20251204,False
002348,高乐股份,5.82,10.018903592,涨停,2天2板,3,5258562054.18,小盘, 09:30:00, 09:30:00,实控人变更+潮玩玩具+定增募资,53507820,311415512.40000004,1084.5637447857337,极强,0,极好,4.815581151122531,E,20251204,False
600289,ST信通,7.39,4.971590909,涨停,3天3板,3,4182168634.76,小盘, 09:30:00, 09:30:00,化解违规担保+AI智算+聚酯薄膜转型+ST板块,2105424,15559083.36,98.43139894977784,极强,0,极好,1.583567356954398,E,20251204,False
002566,益盛药业,9.05,9.963547995,涨停,首板涨停,1,2097703735.4,微盘, 09:52:28, 09:52:28,流感概念+人参全产业链+化妆品,20503173,185553715.65,157.78921345938406,极强,0,极好,2.1220820599044616,E,20251204,False
601399,国机重装,3.83,10.057471264,涨停,首板涨停,1,27627919058.7,中盘, 14:05:09, 14:54:34,核电装备+可控核聚变+国企改革+海工装备,16612559,63626100.97,3.7154942297869433,较弱,1,良好,1.0,E,20251204,False
000536,华映科技,6.15,10.017889088,涨停,首板涨停,1,16992957473.4,中盘, 13:04:33, 13:46:24,车载显示+面板+福建国资+海峡两岸,32163300,197804295.0,6.149483598188884,一般,3,一般,1.1539389457019111,E,20251204,False
001336,楚环科技,28.29,9.99222395,涨停,首板涨停,1,1317837596.4,微盘, 13:08:48, 13:08:48,废气治理+半导体+一带一路+环保设备,999434,28273987.86,21.212375261617115,极强,0,极好,1.2000000000000002,E,20251204,False
600151,航天机电,11.28,10.048780488,涨停,首板涨停,1,16178365797.36,中盘, 13:01:18, 14:21:15,航天+光伏组件+汽车热系统+央企,7670747,86526026.16,3.065155715765317,较弱,2,良好,0.8,E,20251204,False
002671,龙泉股份,5.83,10,涨停,首板涨停,1,3205500289.09,小盘, 13:49:54, 13:53:54,PCCP+核电管件+风电+地下管网,3407900,19868057.0,7.208939974019554,一般,2,良好,0.8,E,20251204,False
600281,华阳新材,6.56,10.067114094,涨停,首板涨停,1,3374477284.0,小盘, 09:56:43, 10:15:58,山西国资+扭亏+PBAT+贵金属,4821190,31627006.4,8.213572546208,一般,4,一般,0.4,E,20251204,False
